subject,body,label
"Urgent meeting","Please attend the meeting at 10 AM today","High"
"Assignment deadline","Submit the assignment by tomorrow","High"
"Interview schedule","Your interview is scheduled for Monday","High"
"Exam notification","Mid-semester exam starts next week","High"
"Payment required","Please complete the payment before due date","High"
"Server down","Production server is currently down","High"
"Security alert","Suspicious login detected on your account","High"
"Action required","Please verify your account immediately","High"
"Invoice overdue","Your invoice is overdue by 7 days","High"
"Project escalation","Client has escalated the issue","High"
"Meeting rescheduled","Meeting moved to today evening","High"
"Urgent approval","Approval needed to proceed","High"
"Deployment failure","Latest deployment failed in production","High"
"Compliance notice","Immediate compliance action required","High"
"System outage","System outage affecting users","High"
"Critical bug","Critical bug found in release","High"
"Interview reminder","Reminder: interview tomorrow","High"
"Exam hall ticket","Download hall ticket immediately","High"
"Payment failed","Transaction failed, retry now","High"
"Deadline today","Final deadline is today","High"
"Emergency meeting","Emergency meeting called by management","High"
"Password reset","Reset your password now","High"
"Bank alert","Unusual activity detected","High"
"Service suspension","Service will be suspended today","High"
"Client complaint","Client complaint requires immediate response","High"
"Legal notice","Legal notice received, respond immediately","High"
"Incident report","Incident requires urgent attention","High"
"Security patch","Apply security patch immediately","High"
"Attendance issue","Attendance shortfall action required","High"
"Offer expiry","Job offer expires today","High"
"Exam result issue","Discrepancy found in exam results","High"
"Payment confirmation needed","Confirm payment immediately","High"
"Meeting follow-up","Follow up required today","High"
"Production alert","High CPU usage on production","High"
"Service request","Urgent service request from customer","High"
"Approval pending","Approval pending blocking release","High"
"Escalation notice","Issue escalated by client","High"
"System warning","Critical system warning detected","High"
"Account suspension","Account will be suspended","High"
"Project update","Weekly project status update attached","Medium"
"Reminder","Please review the document when free","Medium"
"Meeting notes","Sharing notes from today's meeting","Medium"
"Class schedule","Updated timetable for this semester","Medium"
"Follow up","Following up on our previous discussion","Medium"
"Weekly report","Please find the weekly report attached","Medium"
"Code review","Kindly review the pull request","Medium"
"Team meeting","Team sync scheduled tomorrow","Medium"
"Performance review","Performance review meeting scheduled","Medium"
"Training session","Training session scheduled this week","Medium"
"Project milestone","Milestone achieved, review details","Medium"
"Assignment reminder","Reminder about upcoming assignment","Medium"
"Exam syllabus","Updated syllabus for exam","Medium"
"Client update","Client shared feedback","Medium"
"Task update","Task status updated","Medium"
"Design discussion","Design discussion scheduled","Medium"
"Planning meeting","Sprint planning meeting","Medium"
"Status update","Status update requested","Medium"
"Schedule confirmation","Confirm availability for meeting","Medium"
"Interview feedback","Sharing interview feedback","Medium"
"Meeting invite","Meeting invite for tomorrow","Medium"
"Project discussion","Discussion on project scope","Medium"
"Document review","Please review the attached document","Medium"
"Code changes","Recent code changes summary","Medium"
"Deployment plan","Deployment planned for weekend","Medium"
"Assignment feedback","Feedback on assignment","Medium"
"Workshop details","Details of upcoming workshop","Medium"
"Team outing","Planning team outing","Medium"
"Internal update","Internal process update","Medium"
"Release notes","Release notes for new version","Medium"
"Client call","Client call scheduled","Medium"
"Resource allocation","Resource allocation update","Medium"
"Schedule update","Updated schedule shared","Medium"
"Project timeline","Updated project timeline","Medium"
"Performance feedback","Performance feedback shared","Medium"
"Weekly sync","Weekly sync meeting","Medium"
"Task reminder","Reminder to complete task","Medium"
"Newsletter","This week's offers and discounts","Low"
"Subscription update","Your subscription has been renewed","Low"
"Promotion","Special sale available for limited time","Low"
"Survey request","Please fill out this survey","Low"
"Event invite","You are invited to our community event","Low"
"Marketing email","Check out our latest products","Low"
"Discount offer","Exclusive discount just for you","Low"
"Welcome email","Welcome to our service","Low"
"Thank you","Thank you for signing up","Low"
"Feedback request","Please share your feedback","Low"
"Blog update","New blog post published","Low"
"Feature announcement","New feature launched","Low"
"Holiday greetings","Wishing you happy holidays","Low"
"Product update","Minor product update information","Low"
"Account summary","Monthly account summary","Low"
"Usage report","Your monthly usage report","Low"
"Newsletter April","April newsletter","Low"
"Community update","Community news update","Low"
"Event reminder","Reminder for upcoming event","Low"
"Webinar invite","Invitation to webinar","Low"
"Tips and tricks","Helpful tips and tricks","Low"
"Learning resources","New learning resources available","Low"
"Offer newsletter","Latest offers newsletter","Low"
"Survey results","Survey results published","Low"
"Beta program","Join our beta program","Low"
"Feature survey","Vote for new features","Low"
"Customer story","Read our customer success story","Low"
"Policy update","Minor policy update","Low"
"Monthly digest","Your monthly digest","Low"
"Community highlights","Highlights from community","Low"
"Release announcement","Release announcement","Low"
"New article","New article published","Low"
"Product tips","Product tips and guidance","Low"
"Event follow-up","Thanks for attending event","Low"
"Social update","Follow us on social media","Low"
"Newsletter May","May newsletter","Low"
"Promotional update","Promotional update","Low"
"General info","General information email","Low"
